Izotop Praw Energia T1/2[s]
Pb-214 0.35% 274.53 50492160000
Tl-208 6.31% 277.36 441806400000000000
Ac-228 0.20% 278.95 441806400000000000
U-235 0.27% 279.50 21112034400000000
Th-227 0.10% 281.29 687072067
Pa-231 1.70% 283.69 1033826976000
Th-227 1.54% 286.12 687072067
Ra-223 0.16% 288.18 687072067
Bi-212 0.34% 288.20 441806400000000000
Pb-214 18.50% 295.21 50492160000
Th-227 0.46% 296.51 687072067
Th-227 2.64% 300.00 687072067
Pa-231 2.47% 300.07 1033826976000
Pb-212 3.28% 300.09 441806400000000000
Pa-231 2.88% 302.65 1033826976000
Th-227 1.20% 304.52 687072067
Th-227 0.48% 312.69 687072067
Pa-231 0.10% 312.92 1033826976000
Th-227 0.30% 314.78 687072067
Ac-228 0.23% 321.65 441806400000000000
Ra-223 3.93% 323.87 687072067
Ac-228 0.11% 327.60 441806400000000000
Ac-228 2.95% 327.99 441806400000000000
Bi-212 0.12% 328.03 441806400000000000
Ra-223 0.21% 328.40 687072067
Th-227 2.70% 329.85 687072067
Pa-231 1.40% 330.06 1033826976000
Ac-228 0.37% 332.37 441806400000000000
Ra-223 0.10% 333.99 687072067
Th-227 1.05% 334.38 687072067
Ra-223 2.79% 338.28 687072067
Ac-228 11.30% 338.32 441806400000000000
Pa-231 0.18% 340.74 1033826976000
Ac-228 0.38% 340.97 441806400000000000
Th-227 0.39% 342.50 687072067
Ra-223 0.22% 342.90 687072067
Ra-223 0.18% 346.80 687072067
Th-227 0.11% 350.43 687072067
Bi-211 12.91% 351.06 687072067
Pb-214 35.80% 351.92 50492160000
Pa-231 0.10% 354.46 1033826976000
Pa-231 0.17% 357.12 1033826976000
Ra-223 0.48% 371.68 687072067
Bi-214 0.29% 387.00 50492160000
Bi-214 0.37% 389.10 50492160000
Rn-219 6.40% 401.81 687072067
Pb-211 3.78% 404.85 687072067
Bi-214 0.18% 405.74 50492160000
Ac-228 1.94% 409.46 441806400000000000
Pb-212 0.14% 415.20 441806400000000000
Pb-211 1.76% 427.09 687072067
Ra-223 1.27% 445.03 687072067
Bi-212 0.36% 452.98 441806400000000000
Bi-214 0.28% 454.77 50492160000
Pb-214 0.23% 462.10 50492160000
Ac-228 4.44% 463.00 441806400000000000
Bi-214 0.14% 469.69 50492160000
Bi-214 0.10% 474.38 50492160000
Ac-228 0.21% 478.30 441806400000000000
Pb-214 0.33% 480.42 50492160000
Pb-214 0.44% 487.08 50492160000
Ac-228 0.19% 503.82 441806400000000000
Ac-228 0.47% 508.96 441806400000000000
Tl-208 22.60% 510.77 441806400000000000
Ac-228 0.11% 523.13 441806400000000000
Pb-214 0.19% 533.69 50492160000
Ac-228 0.21% 546.45 441806400000000000
Rn-220 0.11% 549.73 441806400000000000
Ac-228 0.87% 562.50 441806400000000000
Ac-228 0.17% 570.91 441806400000000000
Ac-228 0.15% 572.29 441806400000000000
Pb-214 0.35% 580.15 50492160000
Tl-208 84.50% 583.19 441806400000000000
Ac-228 0.11% 583.41 441806400000000000
Bi-214 44.80% 609.31 50492160000
Bi-214 1.29% 665.45 50492160000
Ac-228 0.10% 674.63 441806400000000000
Ac-228 0.18% 701.75 441806400000000000
Bi-214 0.37% 703.11 50492160000
Pb-211 0.46% 704.64 687072067
Ac-228 0.16% 707.41 441806400000000000
Bi-214 0.42% 719.86 50492160000
Tl-208 0.20% 722.04 441806400000000000
Ac-228 0.64% 726.86 441806400000000000
Bi-212 6.58% 727.33 441806400000000000
Bi-214 0.14% 752.84 50492160000
Ac-228 1.01% 755.31 441806400000000000
Tl-208 1.81% 763.13 441806400000000000
Pa-234m 0.29% 766.36 140999356800000000
Pb-211 0.62% 766.51 687072067
Bi-214 4.80% 768.36 50492160000
Ac-228 1.50% 772.29 441806400000000000
Ac-228 0.50% 782.14 441806400000000000
Bi-212 1.10% 785.37 441806400000000000
Pb-214 0.85% 785.91 50492160000
Bi-214 0.30% 786.10 50492160000
Ac-228 4.34% 794.95 441806400000000000
Bi-214 1.12% 806.17 50492160000
Bi-214 0.18% 821.18 50492160000
Ac-228 0.55% 830.49 441806400000000000
Pb-211 3.52% 832.01 687072067
Ac-228 1.68% 835.71 441806400000000000
Pb-214 0.63% 839.03 50492160000
Ac-228 0.94% 840.38 441806400000000000
Tl-208 12.42% 860.56 441806400000000000
Bi-212 0.38% 893.41 441806400000000000
Tl-207 0.26% 897.77 687072067
Ac-228 0.78% 904.20 441806400000000000
Ac-228 26.60% 911.20 441806400000000000
Tl-208 0.13% 927.60 441806400000000000
Bi-214 3.03% 934.06 50492160000
Ac-228 0.11% 947.98 441806400000000000
Bi-212 0.17% 952.12 441806400000000000
Ac-228 0.29% 958.61 441806400000000000
Bi-214 0.38% 964.08 50492160000
Ac-228 5.11% 964.77 441806400000000000
Ac-228 16.20% 968.97 441806400000000000
Tl-208 0.20% 982.70 441806400000000000
Ac-228 0.13% 988.43 441806400000000000
Pa-234m 0.84% 1001.00 140999356800000000
Ac-228 0.21% 1033.20 441806400000000000
Bi-214 0.34% 1052.00 50492160000
Ac-228 0.14% 1065.20 441806400000000000
Bi-214 0.28% 1070.00 50492160000
Bi-212 0.56% 1078.60 441806400000000000
Tl-208 0.40% 1093.90 441806400000000000
Ac-228 0.13% 1095.70 441806400000000000
Pb-211 0.11% 1109.50 687072067
Ac-228 0.31% 1110.60 441806400000000000
Bi-214 14.80% 1120.30 50492160000
Bi-214 0.28% 1133.70 50492160000
Ac-228 0.14% 1153.50 441806400000000000
Bi-214 1.64% 1155.20 50492160000
Bi-214 0.49% 1207.70 50492160000
Bi-214 5.86% 1238.10 50492160000
Ac-228 0.50% 1247.10 441806400000000000
Bi-214 1.44% 1281.00 50492160000
Bi-214 0.11% 1303.80 50492160000
Bi-214 3.92% 1377.70 50492160000
Bi-214 0.89% 1385.30 50492160000
Bi-214 1.55% 1401.50 50492160000
Bi-214 2.80% 1408.00 50492160000
Ac-228 0.80% 1459.10 441806400000000000
Ac-228 0.89% 1495.90 441806400000000000
Ac-228 0.47% 1501.60 441806400000000000
Bi-214 2.12% 1509.20 50492160000
Bi-212 0.29% 1512.70 441806400000000000
Bi-214 0.51% 1538.50 50492160000
Bi-214 0.33% 1543.30 50492160000
